node,status,block_height,peer_count
node01,running,419,2
node02,running,419,2
node03,running,419,2
node04,running,419,2
node05,running,420,2
node06,running,420,2
node07,running,420,2
node08,running,420,2
node09,running,420,4
node10,running,420,6
node11,running,420,6
node12,running,420,6
node13,running,420,6
node14,running,420,6
node15,running,420,6
node16,running,420,4
node17,running,420,3
node18,running,420,5
node19,running,420,5
node20,running,420,5
node21,running,421,5
node22,running,421,5
node23,running,421,5
node24,running,421,5
node25,running,421,4
node26,running,421,4
node27,running,421,4
node28,running,421,4
node29,running,421,4
node30,running,421,4
node31,running,421,4
node32,running,421,4
node33,running,421,4
node34,running,421,4
node35,running,421,4
node36,running,421,4
node37,running,421,4
node38,running,422,4
node39,running,422,4
node40,running,422,4
node41,running,422,4
node42,running,422,4
node43,running,422,4
node44,running,422,4
node45,running,422,4
node46,running,422,4
node47,running,422,4
node48,running,422,4
node49,running,422,4
node50,running,422,4
node51,running,422,4
node52,running,422,4
node53,running,422,4
node54,running,423,4
node55,running,423,4
node56,running,423,4
node57,running,423,4
node58,running,423,4
node59,running,423,4
node60,running,423,4
node61,running,423,4
node62,running,423,4
node63,running,423,4
node64,running,423,2
